data_set_name,algorithm_name,fold_name,model_file,algorithm_config_index,algorithm_configuration,fold,train_users,test_users,users_to_predict,prediction_time
MovieLens-100K,FISM,0,./data_sets/MovieLens-100K/checkpoint_FISM/config_0/fold_0/FISM-Apr-25-2025_18-49-39.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01, 'split_to': 5}",0,711,711,711,3.0474252700805664
MovieLens-100K,FISM,1,./data_sets/MovieLens-100K/checkpoint_FISM/config_0/fold_1/FISM-Apr-25-2025_18-57-25.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01, 'split_to': 5}",1,711,711,711,2.8317153453826904
MovieLens-100K,FISM,2,./data_sets/MovieLens-100K/checkpoint_FISM/config_0/fold_2/FISM-Apr-25-2025_19-02-17.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01, 'split_to': 5}",2,711,711,711,2.9117190837860107
MovieLens-100K,FISM,3,./data_sets/MovieLens-100K/checkpoint_FISM/config_0/fold_3/FISM-Apr-25-2025_19-05-04.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01, 'split_to': 5}",3,711,711,711,2.851539134979248
MovieLens-100K,FISM,4,./data_sets/MovieLens-100K/checkpoint_FISM/config_0/fold_4/FISM-Apr-25-2025_19-08-13.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01, 'split_to': 5}",4,711,711,711,2.958738088607788
MovieLens-100K,GCMC,0,./data_sets/MovieLens-100K/checkpoint_GCMC/config_0/fold_0/GCMC-Apr-25-2025_19-15-01.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",0,711,711,711,89.8927116394043
MovieLens-100K,GCMC,1,./data_sets/MovieLens-100K/checkpoint_GCMC/config_0/fold_1/GCMC-Apr-25-2025_19-18-59.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",1,711,711,711,90.74229717254639
MovieLens-100K,GCMC,2,./data_sets/MovieLens-100K/checkpoint_GCMC/config_0/fold_2/GCMC-Apr-25-2025_19-22-16.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",2,711,711,711,90.3797824382782
MovieLens-100K,GCMC,3,./data_sets/MovieLens-100K/checkpoint_GCMC/config_0/fold_3/GCMC-Apr-25-2025_19-24-56.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",3,711,711,711,88.66639804840088
MovieLens-100K,GCMC,4,./data_sets/MovieLens-100K/checkpoint_GCMC/config_0/fold_4/GCMC-Apr-25-2025_19-27-37.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",4,711,711,711,90.6116464138031
MovieLens-100K,ItemKNN,0,./data_sets/MovieLens-100K/checkpoint_ItemKNN/config_0/fold_0/ItemKNN-Apr-25-2025_15-09-15.pth,0,"{'epochs': 1, 'k': 100}",0,711,711,711,0.5747601985931396
MovieLens-100K,ItemKNN,1,./data_sets/MovieLens-100K/checkpoint_ItemKNN/config_0/fold_1/ItemKNN-Apr-25-2025_15-09-36.pth,0,"{'epochs': 1, 'k': 100}",1,711,711,711,0.5412397384643555
MovieLens-100K,ItemKNN,2,./data_sets/MovieLens-100K/checkpoint_ItemKNN/config_0/fold_2/ItemKNN-Apr-25-2025_15-09-45.pth,0,"{'epochs': 1, 'k': 100}",2,711,711,711,0.5744035243988037
MovieLens-100K,ItemKNN,3,./data_sets/MovieLens-100K/checkpoint_ItemKNN/config_0/fold_3/ItemKNN-Apr-25-2025_15-09-54.pth,0,"{'epochs': 1, 'k': 100}",3,711,711,711,0.5639972686767578
MovieLens-100K,ItemKNN,4,./data_sets/MovieLens-100K/checkpoint_ItemKNN/config_0/fold_4/ItemKNN-Apr-25-2025_15-10-02.pth,0,"{'epochs': 1, 'k': 100}",4,711,711,711,0.5523409843444824
MovieLens-100K,LDiffRec,0,./data_sets/MovieLens-100K/checkpoint_LDiffRec/config_0/fold_0/LDiffRec-Apr-25-2025_19-30-53.pth,0,"{'steps': 5, 'learning_rate': 0.01}",0,711,711,711,3.7970662117004395
MovieLens-100K,LDiffRec,1,./data_sets/MovieLens-100K/checkpoint_LDiffRec/config_0/fold_1/LDiffRec-Apr-25-2025_19-31-05.pth,0,"{'steps': 5, 'learning_rate': 0.01}",1,711,711,711,3.807687997817993
MovieLens-100K,LDiffRec,2,./data_sets/MovieLens-100K/checkpoint_LDiffRec/config_0/fold_2/LDiffRec-Apr-25-2025_19-31-17.pth,0,"{'steps': 5, 'learning_rate': 0.01}",2,711,711,711,3.639195442199707
