data_set_name,algorithm_name,fold_name,model_file,algorithm_config_index,algorithm_configuration,fold,setup_time,training_time
disneylandreviews,AFM,0,./data_sets/disneylandreviews/checkpoint_AFM/config_0/fold_0/AFM-May-18-2025_20-33-45.pth,0,{},0,1.8318414688110352,0.4512662887573242
disneylandreviews,AFM,1,./data_sets/disneylandreviews/checkpoint_AFM/config_0/fold_1/AFM-May-18-2025_20-33-51.pth,0,{},1,1.6815400123596191,0.40833568572998047
disneylandreviews,AFM,2,./data_sets/disneylandreviews/checkpoint_AFM/config_0/fold_2/AFM-May-18-2025_20-33-56.pth,0,{},2,1.6258389949798584,0.39334988594055176
disneylandreviews,AFM,3,./data_sets/disneylandreviews/checkpoint_AFM/config_0/fold_3/AFM-May-18-2025_20-34-02.pth,0,{},3,1.5806868076324463,0.4243013858795166
disneylandreviews,AFM,4,./data_sets/disneylandreviews/checkpoint_AFM/config_0/fold_4/AFM-May-18-2025_20-34-08.pth,0,{},4,1.5393414497375488,0.38706207275390625
disneylandreviews,AutoInt,0,./data_sets/disneylandreviews/checkpoint_AutoInt/config_0/fold_0/AutoInt-May-18-2025_20-36-46.pth,0,{},0,1.7349894046783447,0.856128454208374
disneylandreviews,AutoInt,1,./data_sets/disneylandreviews/checkpoint_AutoInt/config_0/fold_1/AutoInt-May-18-2025_20-36-52.pth,0,{},1,1.6041405200958252,0.8301496505737305
disneylandreviews,AutoInt,2,./data_sets/disneylandreviews/checkpoint_AutoInt/config_0/fold_2/AutoInt-May-18-2025_20-36-58.pth,0,{},2,1.5839295387268066,0.8499157428741455
disneylandreviews,AutoInt,3,./data_sets/disneylandreviews/checkpoint_AutoInt/config_0/fold_3/AutoInt-May-18-2025_20-37-04.pth,0,{},3,1.6202101707458496,0.8556108474731445
disneylandreviews,AutoInt,4,./data_sets/disneylandreviews/checkpoint_AutoInt/config_0/fold_4/AutoInt-May-18-2025_20-37-10.pth,0,{},4,1.5625770092010498,0.8422629833221436
disneylandreviews,DCN,0,./data_sets/disneylandreviews/checkpoint_DCN/config_0/fold_0/DCN-May-18-2025_20-34-13.pth,0,{},0,1.6704943180084229,1.0316030979156494
disneylandreviews,DCN,1,./data_sets/disneylandreviews/checkpoint_DCN/config_0/fold_1/DCN-May-18-2025_20-34-20.pth,0,{},1,1.7747538089752197,1.0745017528533936
disneylandreviews,DCN,2,./data_sets/disneylandreviews/checkpoint_DCN/config_0/fold_2/DCN-May-18-2025_20-34-26.pth,0,{},2,1.6674015522003174,0.9280049800872803
